Order ID,Order Date,Quantity ordered new,Unit Price,Sales,Discount_%,Shipping Cost,Profit,Product Base Margin
88075,2015-04-20,17,1.76,29.57,6,0.7,-1.6524,0.56
87407,2015-05-09,3,5.98,22.85,2,5.15,2.1400000000000023,0.36
87408,2015-06-12,17,29.14,506.39,4,4.86,349.40909999999997,0.38
87406,2015-03-02,1,3.69,4.0,0,0.5,-37.5291,0.38
87406,2015-03-02,4,175.99,589.8,2,4.99,101.49,0.59
87946,2015-01-02,8,155.06,1225.6,5,7.07,845.6639999999999,0.59
37537,2015-01-02,4,291.73,1239.06,0,48.8,-308.928,0.56
37537,2015-01-02,43,100.98,4083.19,7,45.0,-1679.7599999999998,0.69
37537,2015-01-02,32,155.06,4902.38,5,7.07,575.3960000000001,0.59
55713,2015-02-02,49,122.99,5718.85,9,70.2,-2426.55,0.74
87947,2015-02-02,12,122.99,1400.53,9,70.2,-2426.55,0.74
87365,2015-03-15,6,296.18,1821.89,4,54.12,-715.7782060000003,0.76
87364,2015-02-02,11,8.09,90.98,0,7.96,-144.56,0.49
87366,2015-03-30,13,896.99,10728.0,8,19.99,7402.32,0.38
90596,2015-06-03,19,161.55,3127.69,5,19.99,1892.424,0.66
90597,2015-03-22,9,4.91,41.82,9,0.5,28.8558,0.36
90597,2015-03-22,9,296.18,2875.72,1,54.12,173.48,0.76
87175,2015-05-17,9,19.84,170.8,7,4.1,117.852,0.44
87176,2015-02-18,10,5.18,53.54,5,2.04,34.010400000000004,0.36
87177,2015-03-04,23,175.99,3363.53,6,8.99,2031.507,0.57
87175,2015-05-17,16,8.34,132.08,7,1.43,-190.67999999999998,0.35
87175,2015-05-17,9,4.98,45.34,9,6.07,325.398,0.36
87178,2015-06-07,16,12.98,216.04,4,3.14,22.817999999999998,0.6
44231,2015-05-03,37,160.98,6276.34,4,30.0,116.1,0.62
44231,2015-05-03,146,17.98,2664.4,1,4.0,-87.96,0.79
87306,2015-05-03,9,160.98,1526.68,4,30.0,255.42000000000002,0.62
87306,2015-05-03,20,115.99,1952.56,6,8.99,685.6146,0.58
88205,2015-06-22,16,19.98,303.59,10,4.0,-16.2,0.68
42599,2015-04-06,31,300.98,9459.94,4,54.92,2023.75,0.55
3397,2015-06-22,65,19.98,1233.32,10,4.0,-20.25,0.68
3397,2015-06-22,17,2.88,47.31,9,1.49,-3.381,0.36
88204,2015-04-06,8,300.98,2441.27,4,54.92,1684.4762999999998,0.55
88205,2015-06-22,4,2.88,11.13,9,1.49,-2.7047999999999996,0.36
89583,2015-01-03,7,4.26,29.5,3,1.2,18.658,0.44
89584,2015-04-04,12,4.91,58.33,1,0.5,40.247699999999995,0.36
89584,2015-04-04,5,4.0,20.42,9,1.3,14.0898,0.37
89585,2015-04-09,12,2.12,26.07,7,1.99,-55.84,0.55
7909,2015-01-03,29,4.26,122.23,3,1.2,9.82,0.44
13959,2015-04-04,47,4.91,228.46,1,0.5,112.06,0.36
13959,2015-04-04,19,4.0,77.61,9,1.3,16.79,0.37
58914,2015-04-09,46,2.12,99.94,7,1.99,-55.84,0.55
86520,2015-01-12,10,6.3,59.85,5,0.5,41.296499999999995,0.39
86520,2015-01-12,10,205.99,1708.73,9,3.0,1179.0237,0.58
90669,2015-04-09,11,8.57,94.97,6,6.14,105.678,0.59
86693,2015-01-27,5,1.74,10.23,2,4.08,-37.39,0.53
86694,2015-05-25,14,15.74,217.23,7,1.39,149.88869999999997,0.4
88534,2015-05-16,5,18.97,101.74,4,9.54,3.0400000000000027,0.37
88534,2015-05-16,8,10.98,84.52,9,3.37,2.7060000000000013,0.57
91087,2015-06-02,13,22.84,312.59,3,11.54,91.95599999999999,0.39
91087,2015-06-02,6,10.98,64.4,5,3.37,-2.544,0.57
91086,2015-01-15,2,7.04,14.65,6,2.17,2.4852,0.38
91089,2015-03-16,3,154.13,453.62,7,69.0,-634.7341000000001,0.68
91088,2015-03-12,4,45.98,193.59,1,4.8,133.5771,0.68
91090,2015-04-23,5,180.98,929.57,6,26.2,251.40839999999997,0.59
89521,2015-01-22,2,32.98,62.46,9,5.5,-20.258000000000003,0.75
89523,2015-04-20,5,5.98,28.11,9,2.5,13.895999999999999,0.36
89520,2015-01-15,2,2.88,5.5,9,0.7,-172.71800000000002,0.56
89522,2015-04-19,8,79.52,667.84,1,48.2,-40.684,0.74
89524,2015-03-29,5,65.99,292.23,1,8.99,97.86,0.6
89525,2015-06-18,21,39.98,772.56,10,4.0,360.24,0.7
87671,2015-05-14,13,95.99,1050.08,1,4.9,713.88,0.56
87672,2015-01-25,3,10.89,33.82,3,4.5,-18.64,0.59
89961,2015-01-02,7,100.98,715.55,5,35.84,-111.4,0.62
89961,2015-01-02,9,4.98,45.63,2,5.49,-77.03,0.38
89426,2015-01-11,5,399.98,1839.91,8,12.06,28.5141,0.56
87463,2015-01-03,3,43.22,130.62,8,16.71,280.27458,0.66
87463,2015-01-03,12,574.74,6945.16,5,24.49,-112.4263,0.37
87463,2015-01-03,3,10.14,30.94,4,2.27,24.924,0.36
87464,2015-04-13,1,1.88,3.42,5,1.49,-2.9094999999999995,0.37
38087,2015-02-21,18,49.99,901.81,2,19.99,-76.89,0.41
3585,2015-05-22,116,1.68,186.59,7,1.57,-35.75,0.59
88360,2015-02-21,5,49.99,250.5,2,19.99,-76.89,0.41
88361,2015-05-22,23,10.06,221.24,7,2.06,152.6556,0.39
88361,2015-05-22,29,1.68,46.65,7,1.57,7.150000000000006,0.59
89092,2015-02-12,3,58.1,164.71,10,1.49,113.6499,0.38
89092,2015-02-12,1,80.48,79.68,1,4.5,-35.4744,0.55
89093,2015-04-09,14,3.8,53.26,5,1.49,14.466999999999999,0.38
89093,2015-04-09,7,30.73,203.49,9,4.0,-99.9864,0.75
89093,2015-04-09,22,125.99,2356.01,0,8.08,1348.59672,0.57
90430,2015-01-03,1,213.45,224.12,0,14.7,-560.81418,0.59
90432,2015-03-30,21,6.54,140.3,7,5.27,-66.0445,0.36
90431,2015-01-10,4,6.48,28.2,2,9.17,-105.68520000000001,0.37
90432,2015-03-30,23,3.29,71.55,9,1.35,15.66,0.4
88921,2015-04-02,19,161.55,3108.98,0,19.99,1167.1580000000001,0.66
51072,2015-04-02,77,161.55,12599.55,0,19.99,1014.9200000000001,0.66
88971,2015-04-27,3,12.28,34.65,9,4.86,1.73,0.38
88972,2015-01-16,11,7.37,85.79,3,5.53,-133.7,0.69
85965,2015-01-17,9,1.86,17.61,5,2.58,-66.62,0.82
85966,2015-06-02,4,5.4,27.3,9,7.78,-21.48775,0.37
85966,2015-06-02,3,20.28,64.75,2,6.68,44.677499999999995,0.53
85966,2015-06-02,5,11.55,62.98,0,2.36,23.595,0.55
85964,2015-01-06,2,10.06,21.2,1,2.06,7.59,0.39
85964,2015-01-06,3,65.99,173.32,0,5.92,-107.987,0.55
85966,2015-06-02,20,2.08,42.29,5,2.56,-36.25,0.55
88048,2015-06-09,6,119.99,730.37,5,56.14,-102.5121,0.39
88527,2015-04-02,7,60.89,450.49,3,32.41,36.354,0.56
90237,2015-02-20,10,5.81,58.8,7,8.49,-243.23649999999998,0.39
90237,2015-02-20,12,9.65,120.47,4,6.22,-53.62,0.55
90236,2015-02-05,6,279.81,1599.96,6,23.19,1103.9723999999999,0.59
90238,2015-03-27,7,28.53,197.59,3,1.49,136.3371,0.38
90238,2015-03-27,2,15.28,33.04,1,1.99,-12.46,0.42
90239,2015-04-28,8,3.34,27.45,6,7.49,-175.86,0.54
86621,2015-02-22,10,442.14,4775.11,0,14.7,3294.8258999999994,0.56
90479,2015-04-20,3,19.98,57.41,10,5.77,35.09,0.38
90479,2015-04-20,11,259.71,2809.87,6,66.67,785.63,0.61
90480,2015-05-26,13,5.94,79.93,1,9.92,-256.519,0.38
90480,2015-05-26,8,125.99,873.18,2,3.0,398.358,0.59
89139,2015-02-23,5,146.05,798.69,2,80.2,-101.19200000000001,0.71
89139,2015-02-23,14,65.99,792.11,6,5.92,-3.3320000000000336,0.55
89140,2015-03-21,10,2.88,28.73,9,0.99,-145.082,0.36
87214,2015-05-28,39,2.58,109.74,2,1.3,1.1080000000000014,0.59
87214,2015-05-28,27,65.99,1543.55,2,3.9,1061.3790000000001,0.55
86268,2015-06-10,5,280.98,1332.82,10,35.67,-53.745,0.66
86267,2015-01-31,4,8.34,34.64,3,2.64,0.6839999999999989,0.59
85858,2015-01-02,3,17.48,52.47,5,1.99,-127.00800000000001,0.45
85857,2015-01-19,10,2.88,26.38,9,0.7,5.7532000000000005,0.56
86297,2015-01-21,9,31.76,304.34,5,45.51,-2177.986096,0.65
90593,2015-05-18,17,73.98,1300.81,0,12.14,326.25,0.67
90594,2015-05-15,10,6.48,67.86,8,7.03,8.93200000000001,0.37
90594,2015-05-15,33,20.34,747.28,1,35.0,229.63800000000015,0.84
88941,2015-04-07,3,5.58,18.67,2,5.3,-22.48,0.35
88941,2015-04-07,5,40.89,210.77,3,18.98,78.98,0.57
88942,2015-06-05,6,35.94,209.12,9,6.66,144.2928,0.4
88942,2015-06-05,7,170.98,1287.17,0,13.99,888.1473,0.75
88942,2015-06-05,9,4.98,46.17,9,7.44,-46.005,0.36
88940,2015-03-30,12,80.97,899.81,10,30.06,128.0253,0.4
5509,2015-04-07,11,5.58,68.46,2,5.3,-29.898400000000002,0.35
5509,2015-04-07,21,40.89,885.23,3,18.98,52.9166,0.57
36069,2015-06-05,24,35.94,836.47,9,6.66,72.1858,0.4
36069,2015-06-05,37,4.98,189.83,9,7.44,-122.3733,0.36
89292,2015-01-24,4,15.28,61.52,9,10.91,-51.75,0.36
89291,2015-05-21,3,1.98,8.3,4,0.7,-1.0,0.83
89291,2015-05-21,9,55.99,416.95,3,5.0,-221.254,0.83
89293,2015-06-17,11,1.68,18.71,10,1.57,-11.57,0.59
89761,2015-06-17,9,4.13,40.95,0,5.34,-61.870000000000005,0.38
89761,2015-06-17,9,130.98,1155.73,10,54.74,-530.24,0.69
89762,2015-01-16,7,28.48,192.3,9,1.99,132.68699999999998,0.4
89762,2015-01-16,14,65.99,748.1,8,4.99,496.89,0.58
90837,2015-03-25,20,4.98,102.54,4,4.62,-135.16,0.64
87057,2015-02-14,8,8.33,70.16,1,1.99,15.895199999999999,0.52
87057,2015-02-14,17,85.99,1240.57,4,0.99,855.9932999999999,0.55
37760,2015-02-14,32,8.33,280.62,1,1.99,10.74,0.52
89166,2015-03-20,2,1637.53,3206.94,4,24.49,-1759.58,0.81
89166,2015-03-20,2,19.98,43.08,1,4.0,-72.23,0.68
86041,2015-06-17,9,7.38,66.55,9,5.21,-27.160000000000004,0.56
86041,2015-06-17,17,5.98,103.49,4,5.15,-52.34400000000001,0.36
86041,2015-06-17,12,15.42,192.18,4,10.68,-119.93599999999999,0.58
91057,2015-04-04,11,8.33,89.76,4,1.99,9.926799999999998,0.52
90973,2015-06-09,4,7.99,28.46,6,5.03,-29.172,0.6
89726,2015-04-14,5,296.18,1170.21,6,54.12,-715.7782060000003,0.76
89726,2015-04-14,8,29.1,243.32,1,4.0,-22.82,0.78
87277,2015-05-04,14,276.2,3825.32,6,24.49,2639.4708,
87277,2015-05-04,1,6.28,8.53,9,5.29,-5.2,0.43
90583,2015-03-17,5,7.77,40.3,8,9.23,-83.65,0.58
90583,2015-03-17,15,7.59,111.88,7,4.0,24.39,0.42
3332,2015-05-04,20,3.26,73.97,1,1.86,-4.6682999999999995,0.41
88151,2015-01-31,7,15.23,111.86,3,27.75,11.650950000000002,0.76
88152,2015-05-04,5,3.26,18.49,1,1.86,0.7020000000000008,0.41
17446,2015-06-09,23,8.34,212.89,0,2.64,5.8625,0.59
11527,2015-01-02,54,99.23,5555.6,4,8.99,1916.6757,0.35
88685,2015-06-09,6,8.34,55.54,0,2.64,10.5,0.59
88686,2015-01-02,14,99.23,1440.34,4,8.99,993.8345999999999,0.35
89647,2015-05-14,17,4.89,84.76,8,4.93,-165.45,0.66
89647,2015-05-14,16,6.68,104.84,7,6.92,-141.12,0.37
91131,2015-05-24,14,124.49,1714.93,7,51.94,1074.44,0.63
91130,2015-01-09,1,125.99,107.95,4,8.99,-627.82192,0.59
87347,2015-01-17,6,328.14,1967.98,5,91.05,411.5172,0.57
90292,2015-04-11,21,19.23,394.1,9,6.15,211.232,0.44
90291,2015-05-27,15,20.99,266.39,2,4.81,49.788,0.58
90291,2015-05-27,9,5.4,51.82,5,7.78,-132.6295,0.37
24193,2015-03-14,45,200.98,9539.6,2,55.96,-163.63,0.75
24193,2015-03-14,24,4.28,109.86,2,5.17,-63.87,0.4
24193,2015-03-14,19,85.99,1426.51,4,0.99,-175.175,0.85
90917,2015-03-14,11,200.98,2331.9,2,55.96,-224.94779999999997,0.75
90917,2015-03-14,6,4.28,27.47,2,5.17,196.79999999999998,0.4
89579,2015-04-17,17,25.98,460.87,3,5.37,250.03759999999997,0.5
88929,2015-05-01,1,415.88,394.51,7,11.37,-539.59,0.57
88928,2015-03-19,7,5.34,38.65,6,5.63,-82.823,0.39
88928,2015-03-19,5,65.99,279.83,7,5.26,107.08200000000001,0.56
90339,2015-06-12,15,8.88,126.9,10,6.28,-27.28375,0.35
90337,2015-01-03,4,5.28,22.82,3,5.66,-51.5592,0.4
90337,2015-01-03,2,110.99,188.66,1,2.5,-263.56572,0.57
90338,2015-02-06,11,160.98,1845.23,3,30.0,1273.2087,0.62
86383,2015-03-05,1,34.98,37.16,2,7.53,-159.68,0.76
86383,2015-03-05,2,19.99,43.65,1,11.17,27.91,0.6
86382,2015-02-15,3,9.71,31.44,7,9.45,-81.77,0.6
86384,2015-06-18,4,15.98,64.59,4,4.0,-19.208000000000002,0.37
86384,2015-06-18,20,22.84,461.94,6,5.47,7.4399999999999995,0.39
89319,2015-02-02,8,154.13,1216.32,10,69.0,-372.48597100000006,0.68
89320,2015-05-23,31,63.94,1989.32,5,14.48,1372.6308,0.46
87804,2015-05-21,15,4.98,72.76,3,0.8,50.2044,0.36
89639,2015-05-02,14,29.17,400.47,7,6.27,236.2371,0.37
87905,2015-05-04,9,178.47,1531.31,5,19.99,943.0,0.55
87700,2015-02-06,1,999.99,919.09,9,13.99,-2531.4825,0.36
88479,2015-01-15,15,15.28,236.46,2,1.99,163.1574,0.42
88479,2015-01-15,1,85.99,73.82,0,3.3,-302.225,0.37
88480,2015-03-03,22,10.98,243.11,5,4.8,90.62,0.36
90695,2015-06-22,9,125.99,952.26,5,8.08,427.1184,0.57
88085,2015-05-25,43,7.59,355.92,0,4.0,86.438,0.42
88083,2015-04-11,2,48.04,101.71,3,19.99,-4.459999999999994,0.37
88084,2015-06-23,9,200.98,1766.68,9,55.96,-512.8720000000001,0.75
88084,2015-06-23,11,2.78,29.02,9,0.97,-3.7840000000000003,0.59
90449,2015-06-25,1,130.98,159.51,4,30.0,-82.904,0.78
90449,2015-06-25,11,200.99,1838.85,5,4.2,1268.8065,0.59
86010,2015-04-10,2,15.99,35.48,3,11.28,-53.2962,0.38
86012,2015-05-27,12,37.7,434.31,4,2.99,299.6739,0.35
86013,2015-01-05,2,8.88,19.86,1,6.28,-15.456,0.35
86013,2015-01-05,8,2.88,23.26,6,0.99,16.0494,0.36
86012,2015-05-27,1,55.99,51.83,1,5.0,-235.895,0.83
86011,2015-05-08,1,29.34,32.4,3,7.87,-41.32,0.54
86014,2015-05-23,31,16.91,492.9,7,6.25,7.900000000000006,0.58
88061,2015-01-14,7,165.2,1081.54,7,19.99,521.69,0.59
88060,2015-01-11,5,297.64,1132.84,8,14.7,496.79679999999996,0.57
88060,2015-01-11,11,12.99,143.63,2,14.37,-556.8096,0.73
88060,2015-01-11,5,14.42,73.04,6,6.75,-27.7388,0.52
88060,2015-01-11,7,4.14,33.35,5,6.6,-128.6872,0.49
88060,2015-01-11,5,11.34,60.24,3,5.01,23.2028,0.36
3138,2015-02-08,4,179.99,718.03,7,19.99,-568.5351,0.48
88023,2015-02-08,1,179.99,179.51,7,19.99,-427.47,0.48
90353,2015-01-27,6,11.97,73.18,3,4.98,-18.19,0.58
90354,2015-04-23,2,3.36,8.82,6,6.27,-24.057540000000003,0.4
90354,2015-04-23,9,699.99,5976.09,7,24.49,2583.56148,0.41
91062,2015-03-18,3,2.88,8.77,5,0.5,6.0512999999999995,0.36
91063,2015-05-18,5,3.36,20.87,10,6.27,-67.0565,0.4
91063,2015-05-18,2,12.28,25.7,7,4.86,-7.94,0.38
91063,2015-05-18,14,20.99,229.57,9,0.99,122.292,0.57
8353,2015-05-15,23,2.94,66.7,8,0.96,-2.12,0.58
10464,2015-02-10,41,4.98,217.0,1,6.07,-69.07,0.36
6562,2015-06-20,22,1360.14,31670.6,2,14.7,2028.12,0.59
42852,2015-06-20,24,9.06,239.82,2,9.86,-63.51,0.4
88906,2015-01-20,10,6.48,66.71,2,6.6,-92.05,0.37
88906,2015-01-20,5,17.15,87.16,4,4.96,6.11,0.58
88905,2015-05-15,12,8.32,101.26,6,2.38,-36.63,0.74
88905,2015-05-15,6,2.94,17.4,8,0.96,-2.12,0.58
88907,2015-02-10,10,4.98,52.93,1,6.07,-35.916399999999996,0.36
88908,2015-06-20,6,1360.14,8637.44,2,14.7,3042.18,0.59
88908,2015-06-20,6,9.06,59.95,2,9.86,-31.755,0.4
90706,2015-05-14,35,152.48,5062.49,7,6.5,171.8388,0.74
87357,2015-04-18,11,55.98,646.97,1,4.86,32.9409,0.36
87357,2015-04-18,17,65.99,946.29,4,8.99,131.334,0.56
87356,2015-02-23,5,20.98,123.0,1,53.03,-282.0818,0.78
87357,2015-04-18,4,128.24,554.08,1,12.65,140.1354,
90058,2015-01-13,3,48.04,152.54,2,5.09,105.25259999999999,0.37
90059,2015-02-01,14,6.37,89.79,3,5.19,-29.0927,0.38
90867,2015-06-05,16,12.64,199.76,7,4.98,113.41499999999999,0.48
89327,2015-06-22,3,150.98,480.37,2,13.99,26.099999999999998,0.38
89327,2015-06-22,1,5.43,5.76,10,0.95,-2.58,0.36
89327,2015-06-22,21,179.29,3112.13,1,29.21,2800.12,0.74
91127,2015-01-20,2,1270.99,2589.01,3,19.99,363.55199999999996,0.35
91127,2015-01-20,1,2036.48,1893.93,7,14.7,-11.536000000000001,0.55
90026,2015-05-25,12,17.98,211.13,9,8.51,-6.612000000000011,0.4
90027,2015-01-17,13,1.88,25.39,0,1.49,-15.5595,0.37
90027,2015-01-17,15,5.78,87.27,6,5.67,-108.19,0.36
88511,2015-04-21,23,15.99,403.25,0,13.18,46.488,0.37
91174,2015-05-14,7,59.78,414.49,5,10.29,159.52970000000005,0.39
91174,2015-05-14,28,20.99,469.69,8,1.25,15.371400000000008,0.83
91175,2015-05-23,41,204.1,8585.67,5,13.99,5924.1123,0.37
86250,2015-06-14,4,13.73,57.37,3,6.85,39.5853,0.54
90908,2015-01-20,9,7.1,66.32,2,6.05,-66.378,0.39
90909,2015-01-30,11,1.68,18.75,5,1.57,-33.34,0.59
90909,2015-01-30,1,218.75,188.51,10,69.64,-201.27599999999998,0.77
90910,2015-06-12,13,549.99,6720.88,6,49.0,4637.4072,0.35
90910,2015-06-12,1,115.99,102.21,8,5.99,-239.54149999999998,0.57
90909,2015-01-30,2,15.04,31.18,0,1.97,21.5142,0.39
17155,2015-01-28,36,6.88,267.53,0,2.0,34.068000000000005,0.39
2433,2015-02-21,25,2036.48,43046.2,7,14.7,4073.25,0.55
8165,2015-04-15,63,4.98,330.21,1,7.44,-179.59199999999998,0.36
359,2015-06-18,56,124.49,6831.37,8,51.94,-500.38,0.63
86190,2015-02-21,6,2036.48,10331.09,7,14.7,6028.41,0.55
86191,2015-04-15,16,4.98,83.86,1,7.44,-161.6328,0.36
86192,2015-06-18,14,124.49,1707.84,8,51.94,-250.19,0.63
86189,2015-01-28,9,6.88,66.88,0,2.0,46.14719999999999,0.39
86189,2015-01-28,8,32.48,274.91,3,35.0,-1116.3348,0.81
88879,2015-03-04,4,280.98,1128.74,2,57.0,1141.7939999999999,0.78
88880,2015-04-15,12,70.97,805.99,9,3.5,-99.56800000000001,0.59
88882,2015-04-01,16,67.28,1066.54,8,19.99,224.8506,0.4
88881,2015-01-13,10,7.99,65.74,6,5.03,-122.13300000000001,0.6
86555,2015-03-13,1,4.13,5.84,5,5.04,-12.1555,0.38
86556,2015-02-26,1,415.88,405.57,8,11.37,-269.0844,0.57
88645,2015-01-13,4,4.48,32.6,6,49.0,-566.0,0.6
88644,2015-05-13,3,162.93,515.88,3,19.99,293.14,0.39
88644,2015-05-13,2,11.58,25.06,1,5.72,-6.61,0.35
88644,2015-05-13,12,55.99,578.24,1,5.0,-57.541000000000004,0.8
88646,2015-01-21,7,15.51,116.93,4,17.78,-266.22,0.59
88644,2015-05-13,12,13.9,170.45,6,7.59,-67.59,0.56
86307,2015-01-17,10,30.53,285.87,8,19.99,-239.8656,0.39
86307,2015-01-17,12,1.68,20.37,1,1.57,-53.444,0.59
86309,2015-03-15,1,13.79,17.44,9,8.78,-22.12,0.43
86311,2015-06-19,18,39.48,702.68,4,1.99,484.84919999999994,0.54
86311,2015-06-19,18,3.7,67.24,4,1.61,18.0,0.44
86308,2015-02-15,6,3.8,24.27,3,1.49,15.2745,0.38
86308,2015-02-15,5,7.98,38.53,7,1.25,26.5857,0.35
86308,2015-02-15,12,417.4,4910.72,7,75.23,-575.352,0.79
86310,2015-06-10,19,6.48,116.8,10,5.9,-51.635,0.37
87579,2015-03-13,5,6.48,32.39,6,7.37,-75.44,0.37
87020,2015-02-03,7,35.99,227.79,2,5.0,-120.934,0.85
28647,2015-03-14,38,154.13,5679.59,9,69.0,-1763.7477000000003,0.68
34882,2015-01-24,52,1.88,102.32,3,1.49,-15.0995,0.37
91144,2015-03-14,10,154.13,1494.63,9,69.0,-1763.7477000000003,0.68
88198,2015-04-29,3,15.57,46.23,2,1.39,23.5428,0.38
88198,2015-04-29,13,20.89,279.28,2,11.52,-276.1128,0.83
88197,2015-03-24,4,17.98,70.06,6,4.0,-78.13,0.79
88198,2015-04-29,14,5.38,81.82,6,5.24,-64.67094,0.36
88198,2015-04-29,1,7.35,13.16,3,5.96,-11.113199999999999,0.38
88196,2015-01-07,14,14.2,205.98,3,5.3,107.02,0.46
91432,2015-02-26,5,6.88,31.46,10,2.0,18.42,0.39
91432,2015-02-26,6,195.99,948.97,6,8.99,349.47,0.6
91433,2015-04-01,21,6.48,136.99,5,8.4,-226.34640000000002,0.37
91433,2015-04-01,2,55.99,99.36,5,5.0,-281.17584,0.8
90469,2015-04-21,22,419.19,9580.0,2,19.99,6610.2,0.58
89284,2015-04-05,12,2.08,28.32,1,5.33,-103.7124,0.43
89284,2015-04-05,6,370.98,2309.49,3,99.0,-124.2864,0.65
87953,2015-03-20,8,160.98,1232.01,6,35.02,-229.68,0.72
87954,2015-04-30,9,65.99,506.38,6,8.8,288.09,0.58
87954,2015-04-30,6,195.99,1042.72,0,4.2,719.4767999999999,0.57
87952,2015-02-14,9,236.97,1769.91,0,59.24,1192.04,0.61
56452,2015-02-14,34,236.97,6686.34,0,59.24,1192.04,0.61
11077,2015-03-20,30,160.98,4620.05,6,35.02,-229.68,0.72
45380,2015-04-30,34,65.99,1912.98,6,8.8,288.09,0.58
45380,2015-04-30,24,195.99,4170.87,0,4.2,1030.509,0.57
90735,2015-06-17,16,51.75,818.81,3,19.99,261.444,0.55
91365,2015-06-21,1,25.38,34.11,2,8.99,-10.36,0.5
91366,2015-05-29,40,3.78,154.71,2,0.71,106.7499,0.39
91575,2015-01-07,12,15.99,192.33,8,13.18,-246.92615999999998,0.37
91576,2015-02-15,8,880.98,6901.25,4,44.55,4233.2588,0.62
91576,2015-02-15,11,13.4,148.94,7,4.95,102.76859999999999,0.37
91576,2015-02-15,12,15.99,200.68,1,11.28,-36.671544,0.38
91213,2015-04-16,9,2.78,29.92,0,1.49,20.6448,0.36
91212,2015-01-19,1,18.97,19.73,10,9.03,-24.2048,0.37
91212,2015-01-19,5,119.99,615.54,0,56.14,-126.05778,0.39
90922,2015-05-29,17,14.58,261.34,2,7.4,10.802000000000001,0.48
88677,2015-01-16,9,22.72,202.41,4,8.99,-678.496,0.44
88678,2015-04-18,6,130.98,793.39,2,30.0,90.762,0.78
88679,2015-04-22,11,4.57,54.04,2,5.42,-352.81399999999996,0.37
22147,2015-01-16,37,22.72,832.14,4,8.99,70.028,0.44
48257,2015-04-22,45,4.57,221.06,2,5.42,-124.28049999999999,0.37
88475,2015-03-20,22,2.89,58.67,9,0.5,40.482299999999995,0.38
88475,2015-03-20,2,48.91,101.06,2,5.81,32.86,0.38
88474,2015-03-05,5,296.18,1429.81,8,54.12,-187.22199999999998,0.76
88173,2015-02-05,12,2.88,34.97,7,1.01,9.59,0.55
88173,2015-02-05,2,195.99,308.86,10,3.99,-655.424,0.58
88174,2015-01-02,3,161.55,485.01,6,19.99,-7.580000000000041,0.66
88889,2015-04-22,5,15.42,81.14,4,10.68,-109.70400000000001,0.58
88890,2015-03-04,2,3.95,10.11,1,5.13,-19.93,0.59
88890,2015-03-04,17,367.99,6621.17,2,19.99,4568.6073,0.4
88890,2015-03-04,3,95.99,253.78,4,4.9,-258.225,0.56
87765,2015-04-07,4,17.67,69.96,6,8.99,38.06,0.47
88503,2015-05-16,10,279.48,2716.09,7,35.0,-207.28,0.8
88504,2015-03-06,5,4.18,21.34,6,2.99,-12.719000000000001,0.37
88502,2015-02-04,10,1.7,17.42,7,1.99,-51.42,0.51
89915,2015-03-21,8,6.48,49.81,9,6.35,-88.6,0.37
87811,2015-03-25,7,500.98,3722.41,2,41.44,2568.4628999999995,0.66
