Order ID,Order Date,Order Priority,Product Category,Product Sub-Category,Product Name,Quantity ordered new,Product Container,Ship Mode,Ship Date
55713,2015-02-02,High,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",49,Jumbo Drum,Delivery Truck,2015-02-04
87947,2015-02-02,High,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",12,Jumbo Drum,Delivery Truck,2015-02-04
87365,2015-03-15,High,Furniture,Tables,Hon 94000 Series Round Tables,6,Jumbo Box,Delivery Truck,2015-03-15
87364,2015-02-02,Not Specified,Furniture,Office Furnishings,"6"" Cubicle Wall Clock, Black",11,Small Box,Regular Air,2015-02-03
87366,2015-03-30,High,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL300 Electric Binding System,13,Small Box,Regular Air,2015-04-02
90596,2015-06-03,Low,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,19,Small Box,Regular Air,2015-06-08
90597,2015-03-22,High,Office Supplies,Labels,Avery 493,9,Small Box,Regular Air,2015-03-23
90597,2015-03-22,High,Furniture,Tables,Hon 94000 Series Round Tables,9,Jumbo Box,Delivery Truck,2015-03-25
87175,2015-05-17,High,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,9,Wrap Bag,Regular Air,2015-05-18
87176,2015-02-18,Medium,Office Supplies,Paper,Array® Memo Cubes,10,Wrap Bag,Regular Air,2015-02-20
87177,2015-03-04,Medium,Technology,Telephones and Communication,2180,23,Small Box,Regular Air,2015-03-06
87175,2015-05-17,High,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16,Wrap Bag,Regular Air,2015-05-19
87175,2015-05-17,High,Office Supplies,Paper,Xerox 1897,9,Small Box,Regular Air,2015-05-18
87178,2015-06-07,Medium,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",16,Small Pack,Express Air,2015-06-09
44231,2015-05-03,Not Specified,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,37,Jumbo Drum,Delivery Truck,2015-05-05
44231,2015-05-03,Not Specified,Technology,Computer Peripherals,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",146,Small Box,Regular Air,2015-05-05
87306,2015-05-03,Not Specified,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,9,Jumbo Drum,Delivery Truck,2015-05-05
87306,2015-05-03,Not Specified,Technology,Telephones and Communication,5185,20,Small Box,Regular Air,2015-05-04
88205,2015-06-22,Medium,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,16,Small Box,Regular Air,2015-06-24
42599,2015-04-06,Medium,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",31,Jumbo Box,Delivery Truck,2015-04-07
3397,2015-06-22,Medium,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,65,Small Box,Regular Air,2015-06-24
3397,2015-06-22,Medium,Office Supplies,Binders and Binder Accessories,Avery Durable Binders,17,Small Box,Regular Air,2015-06-23
88204,2015-04-06,Medium,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",8,Jumbo Box,Delivery Truck,2015-04-07
88205,2015-06-22,Medium,Office Supplies,Binders and Binder Accessories,Avery Durable Binders,4,Small Box,Regular Air,2015-06-23
89583,2015-01-03,High,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",7,Wrap Bag,Regular Air,2015-01-04
89584,2015-04-04,Medium,Office Supplies,Labels,Avery 493,12,Small Box,Regular Air,2015-04-06
89584,2015-04-04,Medium,Office Supplies,Paper,EcoTones® Memo Sheets,5,Wrap Bag,Express Air,2015-04-06
89585,2015-04-09,Low,Technology,Computer Peripherals,Fuji Slim Jewel Case CD-R,12,Small Pack,Regular Air,2015-04-11
7909,2015-01-03,High,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",29,Wrap Bag,Regular Air,2015-01-04
13959,2015-04-04,Medium,Office Supplies,Labels,Avery 493,47,Small Box,Regular Air,2015-04-06
13959,2015-04-04,Medium,Office Supplies,Paper,EcoTones® Memo Sheets,19,Wrap Bag,Express Air,2015-04-06
58914,2015-04-09,Low,Technology,Computer Peripherals,Fuji Slim Jewel Case CD-R,46,Small Pack,Regular Air,2015-04-11
86520,2015-01-12,High,Office Supplies,Labels,Avery 51,10,Small Box,Regular Air,2015-01-13
86520,2015-01-12,High,Technology,Telephones and Communication,6185,10,Small Box,Express Air,2015-01-14
90669,2015-04-09,Critical,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Office Executive Series Stainless Steel Trimmers,11,Small Pack,Regular Air,2015-04-10
86693,2015-01-27,Not Specified,Furniture,Office Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",5,Small Pack,Regular Air,2015-01-28
86694,2015-05-25,Not Specified,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",14,Small Box,Regular Air,2015-05-26
88534,2015-05-16,Critical,Office Supplies,Paper,Xerox 1939,5,Small Box,Regular Air,2015-05-17
88534,2015-05-16,Critical,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars® Softgrip Scissors,8,Small Pack,Regular Air,2015-05-17
91087,2015-06-02,Critical,Office Supplies,Paper,Xerox 1964,13,Small Box,Regular Air,2015-06-03
91087,2015-06-02,Critical,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars® Softgrip Scissors,6,Small Pack,Regular Air,2015-06-03
91086,2015-01-15,Medium,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",2,Wrap Bag,Regular Air,2015-01-17
91089,2015-03-16,Low,Furniture,Tables,Laminate Occasional Tables,3,Large Box,Express Air,2015-03-16
91088,2015-03-12,Not Specified,Furniture,Office Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,4,Wrap Bag,Regular Air,2015-03-13
91090,2015-04-23,Medium,Furniture,Chairs & Chairmats,Global Ergonomic Managers Chair,5,Jumbo Drum,Delivery Truck,2015-04-24
89521,2015-01-22,Critical,Technology,Computer Peripherals,PC Concepts 116 Key Quantum 3000 Keyboard,2,Small Box,Regular Air,2015-01-23
89523,2015-04-20,High,Office Supplies,Envelopes,Wausau Papers Astrobrights® Colored Envelopes,5,Small Box,Regular Air,2015-04-22
89520,2015-01-15,Critical,Office Supplies,Pens & Art Supplies,Newell 335,2,Wrap Bag,Regular Air,2015-01-16
89522,2015-04-19,Low,Furniture,Office Furnishings,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,8,Medium Box,Regular Air,2015-04-26
89524,2015-03-29,High,Technology,Telephones and Communication,StarTAC Analog,5,Small Box,Regular Air,2015-04-01
89525,2015-06-18,Low,Technology,Computer Peripherals,Microsoft Natural Keyboard Elite,21,Small Box,Regular Air,2015-06-22
87671,2015-05-14,Critical,Technology,Telephones and Communication,T60,13,Small Box,Regular Air,2015-05-15
87672,2015-01-25,High,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,3,Small Box,Regular Air,2015-01-26
89961,2015-01-02,Medium,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",7,Jumbo Box,Delivery Truck,2015-01-04
89961,2015-01-02,Medium,Office Supplies,Paper,Xerox 1952,9,Small Box,Regular Air,2015-01-03
89426,2015-01-11,Low,Technology,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,5,Jumbo Box,Delivery Truck,2015-01-18
87463,2015-01-03,Low,Technology,Computer Peripherals,"Fellowes Mobile Numeric Keypad, Graphite",3,Small Box,Regular Air,2015-01-05
87463,2015-01-03,Low,Technology,Office Machines,Polycom ViaVideo™ Desktop Video Communications Unit,12,Large Box,Regular Air,2015-01-10
87463,2015-01-03,Low,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",3,Wrap Bag,Regular Air,2015-01-07
87464,2015-04-13,Critical,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,1,Small Box,Regular Air,2015-04-15
38087,2015-02-21,Critical,Technology,Computer Peripherals,Zoom V.92 USB External Faxmodem,18,Small Box,Regular Air,2015-02-21
3585,2015-05-22,High,Office Supplies,Pens & Art Supplies,Newell 323,116,Wrap Bag,Regular Air,2015-05-23
88360,2015-02-21,Critical,Technology,Computer Peripherals,Zoom V.92 USB External Faxmodem,5,Small Box,Regular Air,2015-02-21
88361,2015-05-22,High,Office Supplies,Paper,Riverleaf Stik-Withit® Designer Note Cubes®,23,Wrap Bag,Regular Air,2015-05-22
88361,2015-05-22,High,Office Supplies,Pens & Art Supplies,Newell 323,29,Wrap Bag,Regular Air,2015-05-23
89092,2015-02-12,High,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,3,Small Box,Regular Air,2015-02-13
89092,2015-02-12,High,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,1,Small Box,Regular Air,2015-02-15
89093,2015-04-09,Not Specified,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,14,Small Box,Regular Air,2015-04-11
89093,2015-04-09,Not Specified,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,7,Small Box,Regular Air,2015-04-09
89093,2015-04-09,Not Specified,Technology,Telephones and Communication,StarTAC ST7762,22,Small Box,Regular Air,2015-04-10
90430,2015-01-03,Not Specified,Technology,Office Machines,Panasonic KX-P2130 Dot Matrix Printer,1,Jumbo Drum,Delivery Truck,2015-01-05
90432,2015-03-30,Medium,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,21,Small Box,Regular Air,2015-04-01
90431,2015-01-10,Not Specified,Office Supplies,Paper,Xerox 1996,4,Small Box,Regular Air,2015-01-11
90432,2015-03-30,Medium,Office Supplies,Rubber Bands,Acco® Hot Clips™ Clips to Go,23,Wrap Bag,Regular Air,2015-04-01
88921,2015-04-02,Critical,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,19,Small Box,Regular Air,2015-04-04
51072,2015-04-02,Critical,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,77,Small Box,Regular Air,2015-04-04
88971,2015-04-27,Not Specified,Office Supplies,Paper,Xerox 1933,3,Small Box,Regular Air,2015-04-28
88972,2015-01-16,High,Technology,Computer Peripherals,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",11,Small Pack,Regular Air,2015-01-18
85965,2015-01-17,Low,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",9,Wrap Bag,Regular Air,2015-01-21
85966,2015-06-02,Medium,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,4,Small Box,Express Air,2015-06-02
85966,2015-06-02,Medium,Furniture,Office Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",3,Small Box,Regular Air,2015-06-02
85966,2015-06-02,Medium,Office Supplies,Pens & Art Supplies,Newell 309,5,Wrap Bag,Regular Air,2015-06-03
85964,2015-01-06,Medium,Office Supplies,Paper,Riverleaf Stik-Withit® Designer Note Cubes®,2,Wrap Bag,Regular Air,2015-01-08
85964,2015-01-06,Medium,Technology,Telephones and Communication,252,3,Small Box,Regular Air,2015-01-08
85966,2015-06-02,Medium,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,20,Small Pack,Regular Air,2015-06-03
88048,2015-06-09,Medium,Technology,Office Machines,Hewlett-Packard 2600DN Business Color Inkjet Printer,6,Jumbo Box,Delivery Truck,2015-06-11
88527,2015-04-02,Medium,Furniture,Chairs & Chairmats,"Global Push Button Manager's Chair, Indigo",7,Jumbo Drum,Delivery Truck,2015-04-03
90237,2015-02-20,Medium,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,10,Small Box,Regular Air,2015-02-22
90237,2015-02-20,Medium,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",12,Small Box,Regular Air,2015-02-21
90236,2015-02-05,Critical,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,6,Jumbo Drum,Delivery Truck,2015-02-06
90238,2015-03-27,High,Office Supplies,Binders and Binder Accessories,Lock-Up Easel 'Spel-Binder',7,Small Box,Regular Air,2015-03-29
90238,2015-03-27,High,Technology,Computer Peripherals,"Memorex 4.7GB DVD+R, 3/Pack",2,Small Pack,Regular Air,2015-03-29
90239,2015-04-28,Low,Office Supplies,Pens & Art Supplies,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",8,Wrap Bag,Express Air,2015-04-30
86621,2015-02-22,Not Specified,Technology,Office Machines,Okidata ML390 Turbo Dot Matrix Printers,10,Jumbo Drum,Delivery Truck,2015-02-22
90479,2015-04-20,Medium,Office Supplies,Paper,Xerox Blank Computer Paper,3,Small Box,Express Air,2015-04-20
90479,2015-04-20,Medium,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",11,Jumbo Box,Delivery Truck,2015-04-21
90480,2015-05-26,Low,Office Supplies,Binders and Binder Accessories,Storex Dura Pro™ Binders,13,Small Box,Regular Air,2015-06-02
90480,2015-05-26,Low,Technology,Telephones and Communication,270c,8,Small Box,Regular Air,2015-05-26
89139,2015-02-23,Medium,Furniture,Tables,BPI Conference Tables,5,Jumbo Box,Delivery Truck,2015-02-23
89139,2015-02-23,Medium,Technology,Telephones and Communication,252,14,Small Box,Regular Air,2015-02-24
89140,2015-03-21,Medium,Office Supplies,Labels,Avery 514,10,Small Box,Regular Air,2015-03-23
87214,2015-05-28,Critical,Office Supplies,Pens & Art Supplies,DIXON Oriole® Pencils,39,Wrap Bag,Express Air,2015-05-29
87214,2015-05-28,Critical,Technology,Telephones and Communication,StarTAC Series,27,Small Box,Regular Air,2015-05-29
86268,2015-06-10,Medium,Furniture,Tables,Global Adaptabilities™ Conference Tables,5,Jumbo Box,Delivery Truck,2015-06-11
86267,2015-01-31,Critical,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Elite Stainless Steel Scissors,4,Small Pack,Regular Air,2015-02-02
85858,2015-01-02,Medium,Technology,Computer Peripherals,"Maxell Pro 80 Minute CD-R, 10/Pack",3,Small Pack,Regular Air,2015-01-04
85857,2015-01-19,Low,Office Supplies,Pens & Art Supplies,Newell 340,10,Wrap Bag,Regular Air,2015-01-19
86297,2015-01-21,High,Furniture,Tables,Hon iLevel™ Computer Training Table,9,Jumbo Box,Delivery Truck,2015-01-23
90593,2015-05-18,Not Specified,Technology,Computer Peripherals,Keytronic 105-Key Spanish Keyboard,17,Small Box,Express Air,2015-05-20
90594,2015-05-15,Medium,Office Supplies,Paper,Xerox 214,10,Small Box,Regular Air,2015-05-16
90594,2015-05-15,Medium,Office Supplies,Storage & Organization,Tennsco Commercial Shelving,33,Large Box,Regular Air,2015-05-16
88941,2015-04-07,Low,Office Supplies,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,3,Small Box,Regular Air,2015-04-12
88941,2015-04-07,Low,Furniture,Office Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,5,Small Box,Regular Air,2015-04-14
88942,2015-06-05,Low,Office Supplies,Envelopes,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",6,Small Box,Regular Air,2015-06-10
88942,2015-06-05,Low,Furniture,Office Furnishings,Tenex Antistatic Computer Chair Mats,7,Medium Box,Regular Air,2015-06-12
88942,2015-06-05,Low,Office Supplies,Paper,Xerox 1922,9,Small Box,Regular Air,2015-06-07
88940,2015-03-30,Medium,Technology,Office Machines,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,12,Jumbo Box,Delivery Truck,2015-03-31
5509,2015-04-07,Low,Office Supplies,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,11,Small Box,Regular Air,2015-04-12
5509,2015-04-07,Low,Furniture,Office Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,21,Small Box,Regular Air,2015-04-14
36069,2015-06-05,Low,Office Supplies,Envelopes,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",24,Small Box,Regular Air,2015-06-10
36069,2015-06-05,Low,Office Supplies,Paper,Xerox 1922,37,Small Box,Regular Air,2015-06-07
89292,2015-01-24,Not Specified,Office Supplies,Binders and Binder Accessories,Recycled Premium Regency Composition Covers,4,Small Box,Regular Air,2015-01-25
89291,2015-05-21,Critical,Office Supplies,Rubber Bands,"Brites Rubber Bands, 1 1/2 oz. Box",3,Wrap Bag,Express Air,2015-05-22
89291,2015-05-21,Critical,Technology,Telephones and Communication,Accessory36,9,Small Pack,Regular Air,2015-05-22
89293,2015-06-17,High,Office Supplies,Pens & Art Supplies,Newell 323,11,Wrap Bag,Regular Air,2015-06-18
89761,2015-06-17,Low,Office Supplies,Binders and Binder Accessories,ACCOHIDE® Binder by Acco,9,Small Box,Regular Air,2015-06-21
89761,2015-06-17,Low,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",9,Jumbo Box,Delivery Truck,2015-06-21
89762,2015-01-16,Critical,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",7,Small Pack,Regular Air,2015-01-19
89762,2015-01-16,Critical,Technology,Telephones and Communication,MicroTAC 650,14,Small Box,Express Air,2015-01-18
90837,2015-03-25,Not Specified,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",20,Small Pack,Regular Air,2015-03-26
87057,2015-02-14,High,Technology,Computer Peripherals,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",8,Small Pack,Regular Air,2015-02-15
87057,2015-02-14,High,Technology,Telephones and Communication,Accessory34,17,Wrap Bag,Regular Air,2015-02-16
37760,2015-02-14,High,Technology,Computer Peripherals,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",32,Small Pack,Regular Air,2015-02-15
89166,2015-03-20,Medium,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,2,Medium Box,Regular Air,2015-03-22
89166,2015-03-20,Medium,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,2,Small Box,Regular Air,2015-03-20
86041,2015-06-17,Not Specified,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",9,Small Box,Regular Air,2015-06-18
86041,2015-06-17,Not Specified,Office Supplies,Paper,Xerox 193,17,Small Box,Regular Air,2015-06-18
86041,2015-06-17,Not Specified,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",12,Small Box,Regular Air,2015-06-18
91057,2015-04-04,Low,Technology,Computer Peripherals,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",11,Small Pack,Regular Air,2015-04-09
90973,2015-06-09,Not Specified,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,4,Medium Box,Regular Air,2015-06-10
89726,2015-04-14,Medium,Furniture,Tables,Hon 94000 Series Round Tables,5,Jumbo Box,Delivery Truck,2015-04-15
89726,2015-04-14,Medium,Technology,Computer Peripherals,Acco Keyboard-In-A-Box®,8,Small Box,Express Air,2015-04-16
87277,2015-05-04,Critical,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,14,Large Box,Regular Air,2015-05-05
87277,2015-05-04,Critical,Furniture,Office Furnishings,"Eldon® 200 Class™ Desk Accessories, Burgundy",1,Small Box,Regular Air,2015-05-04
90583,2015-03-17,Medium,Office Supplies,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,5,Small Box,Regular Air,2015-03-18
90583,2015-03-17,Medium,Furniture,Office Furnishings,"Master Giant Foot® Doorstop, Safety Yellow",15,Wrap Bag,Regular Air,2015-03-19
3332,2015-05-04,Critical,Office Supplies,Pens & Art Supplies,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",20,Wrap Bag,Regular Air,2015-05-06
88151,2015-01-31,Critical,Furniture,Tables,Anderson Hickey Conga Table Tops & Accessories,7,Jumbo Box,Delivery Truck,2015-02-01
88152,2015-05-04,Critical,Office Supplies,Pens & Art Supplies,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",5,Wrap Bag,Regular Air,2015-05-06
17446,2015-06-09,Critical,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Elite Stainless Steel Scissors,23,Small Pack,Express Air,2015-06-11
11527,2015-01-02,Medium,Furniture,Office Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",54,Small Pack,Regular Air,2015-01-04
88685,2015-06-09,Critical,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Elite Stainless Steel Scissors,6,Small Pack,Express Air,2015-06-11
88686,2015-01-02,Medium,Furniture,Office Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",14,Small Pack,Regular Air,2015-01-04
89647,2015-05-14,Low,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",17,Small Pack,Express Air,2015-05-14
89647,2015-05-14,Low,Office Supplies,Paper,Xerox 1898,16,Small Box,Regular Air,2015-05-21
91131,2015-05-24,Critical,Furniture,Tables,Bevis 36 x 72 Conference Tables,14,Jumbo Box,Delivery Truck,2015-05-25
91130,2015-01-09,Low,Technology,Telephones and Communication,M70,1,Small Box,Regular Air,2015-01-16
87347,2015-01-17,Medium,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",6,Jumbo Drum,Delivery Truck,2015-01-19
90292,2015-04-11,Low,Furniture,Office Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",21,Small Pack,Express Air,2015-04-13
90291,2015-05-27,Not Specified,Technology,Telephones and Communication,1726 Digital Answering Machine,15,Medium Box,Regular Air,2015-05-29
90291,2015-05-27,Not Specified,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,9,Small Box,Express Air,2015-05-29
24193,2015-03-14,Not Specified,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,45,Jumbo Box,Delivery Truck,2015-03-16
24193,2015-03-14,Not Specified,Office Supplies,Paper,Xerox 1971,24,Small Box,Regular Air,2015-03-15
24193,2015-03-14,Not Specified,Technology,Telephones and Communication,Accessory4,19,Wrap Bag,Regular Air,2015-03-16
